Video Title,Song Name,Song Date,Song Type,Featuring Artists,Number of Likes,Number of Views,Number of Comments
Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),2020-12-31T11:01:45Z,Featuring,Didine Canon 16 - Doctor (Clip Officiel),262373,11910588,9578
Sanfara - 3ami | عمّي (Clip Officiel),Sanfara - 3ami | عمّي (Clip Officiel),2020-11-05T12:17:41Z,Solo,[],123420,6984603,4782
Hamouda X Sanfara - Nour Einya (Official Music Video) | نور عينيا,Hamouda X Sanfara - Nour Einya (Official Music Video) | نور عينيا,2020-10-24T12:00:03Z,Solo,[],524460,49844311,15363
Sanfara - Matwasini (Clip Officiel) | متوصيني,Sanfara - Matwasini (Clip Officiel) | متوصيني,2020-10-13T18:25:05Z,Solo,[],137550,8413150,4323
Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,2020-07-03T10:41:50Z,Solo,[],152156,9061970,4323
Sanfara - Wras La7nina (Clip Officiel) | وراس لحنينۃ,Sanfara - Wras La7nina (Clip Officiel) | وراس لحنينۃ,2020-03-12T11:58:31Z,Solo,[],290580,33083639,6875
Lorco ft. Sanfara - Denya (Clip Officiel),Lorco ft. Sanfara - Denya (Clip Officiel),2019-12-08T19:19:04Z,Featuring,Sanfara - Denya (Clip Officiel),26331,1259619,513
Sanfara - El 3ajla Edour (Clip Officiel) | العجلة إدّور,Sanfara - El 3ajla Edour (Clip Officiel) | العجلة إدّور,2019-10-08T20:12:39Z,Solo,[],413121,65008067,10908
Sanfara - Ya Benti (Clip Officiel) | يا بنتي,Sanfara - Ya Benti (Clip Officiel) | يا بنتي,2019-09-20T13:10:48Z,Solo,[],219145,19245659,5580
Sanfara ft. Nordo - Nbet Nhareb (Clip Officiel) | نبات نحارب,Sanfara ft. Nordo - Nbet Nhareb (Clip Officiel) | نبات نحارب,2019-05-29T12:32:24Z,Featuring,Nordo - Nbet Nhareb (Clip Officiel) | نبات نحارب,536110,87798292,12186
